nutrition,measure,food_product,value
Protein,G,Organic,0.02
Protein,G,Orzo,0.24
Protein,G,Oyster,0.08
Protein,G,Papaya,0.04
Protein,G,Paprika,0.24
Protein,G,Parmesan,0.56
Protein,G,Parsley,0.0
Protein,G,Parsnip,0.02
Protein,G,Party,0.56
Protein,G,Passion Fruit,0.02
Protein,G,Pasta,0.22
Protein,G,Pea,0.28
Protein,G,Peach,0.08
Protein,G,Peanut,0.14
Protein,G,Peanut Butter,0.44
Protein,G,Pear,0.0
Protein,G,Pecan,0.18
Protein,G,Pepper,0.0
Protein,G,Pernod,0.14
Protein,G,Persimmon,0.02
Protein,G,Pickles,0.0
Protein,G,Pine Nut,0.26
Protein,G,Pineapple,0.0
Protein,G,Pistachio,0.4
Protein,G,Plantain,0.04
Protein,G,Plum,0.0
Protein,G,Poblano,0.0
Protein,G,Pomegranate,0.0
Protein,G,Pomegranate Juice,0.0
Protein,G,Poppy,0.0
Protein,G,Pork,0.42
Protein,G,Pork Chop,0.36
Protein,G,Pork Rib,0.32
Protein,G,Pork Tenderloin,0.34
Protein,G,Port,0.46
Protein,G,Potato,0.06
Protein,G,Poultry,0.0
Protein,G,Poultry Sausage,0.0
Protein,G,Prune,0.04
Protein,G,Pumpkin,0.02
Protein,G,Quail,0.5
Protein,G,Quince,0.0
Protein,G,Quinoa,0.04
Protein,G,Rabbit,0.6
Protein,G,Rack Of Lamb,0.38
Protein,G,Radicchio,0.04
Protein,G,Radish,0.0
Protein,G,Raisin,0.2
Protein,G,Raspberry,0.0
Protein,G,Red Wine,0.0
Protein,G,Rhubarb,0.0
Protein,G,Rice,0.12
Protein,G,Ricotta,0.18
Protein,G,Roast,0.58
Protein,G,Root Vegetable,0.02
Protein,G,Rosemary,0.0
Protein,G,Rum,0.0
Protein,G,Rutabaga,0.02
Protein,G,Rye,0.12
Protein,G,Saffron,0.22
Protein,G,Sage,0.0
Protein,G,Sake,0.0
Protein,G,Salmon,0.38
Protein,G,Sardine,0.34
Protein,G,Sauce,0.0
Protein,G,Sausage,0.2
Protein,G,Scallop,0.22
Protein,G,Scotch,0.0
Protein,G,Seed,0.1
Protein,G,Semolina,0.2
Protein,G,Sesame,0.06
Protein,G,Sesame Oil,0.0
Protein,G,Shallot,0.04
Protein,G,Shellfish,0.3
Protein,G,Sherry,0.0
Protein,G,Shrimp,0.22
Protein,G,Snapper,0.4
Protein,G,Sorbet,0.0
Protein,G,Sour Cream,0.06
Protein,G,Sourdough,0.12
Protein,G,Soy,0.52
Protein,G,Soy Sauce,0.16
Protein,G,Sparkling Wine,0.0
Protein,G,Spice,0.1
Protein,G,Spinach,0.04
Protein,G,Squash,0.0
Protein,G,Squid,0.28
Protein,G,Steak,0.0
Protein,G,Strawberry,0.06
Protein,G,Sugar Snap Pea,0.04
Protein,G,Swiss Cheese,0.52
Protein,G,Swordfish,0.42
Protein,G,Tamarind,0.04
Protein,G,Tangerine,0.0
Protein,G,Tapioca,0.0
Protein,G,Tarragon,0.0
Protein,G,Tea,0.0
Protein,G,Tequila,0.0
Protein,G,Thyme,0.0
Protein,G,Tilapia,0.36
Protein,G,Tomatillo,0.0
Protein,G,Tortillas,0.14
Protein,G,Triple Sec,0.0
Protein,G,Tropical Fruit,0.0
Protein,G,Trout,0.34
Protein,G,Tuna,0.1
Protein,G,Turnip,0.04
Protein,G,Vanilla,0.06
Protein,G,Veal,0.32
Protein,G,Vegetable,0.04
Protein,G,Venison,0.2
Protein,G,Vermouth,0.0
Protein,G,Vinegar,0.0
Protein,G,Vodka,0.0
Protein,G,Walnut,0.2
Protein,G,Wasabi,0.04
Protein,G,Watercress,0.04
Protein,G,Watermelon,0.0
Protein,G,Wedding,0.08
Protein,G,Whiskey,0.0
Protein,G,White Wine,0.0
Protein,G,Whole Wheat,0.32
Protein,G,Wild Rice,0.26
Protein,G,Wine,0.0
Protein,G,Wok,0.0
Protein,G,Yellow Squash,0.02
Protein,G,Yogurt,0.04
Protein,G,Yuca,0.0
Protein,G,Zucchini,0.02
Total lipid (fat),G,Almond,0.7051282051282052
Total lipid (fat),G,Amaretto,0.1282051282051282
Total lipid (fat),G,Anchovy,0.11538461538461539
Total lipid (fat),G,Anise,0.19230769230769232
Total lipid (fat),G,Apple,0.0
Total lipid (fat),G,Apple Juice,0.0
Total lipid (fat),G,Apricot,0.0
Total lipid (fat),G,Artichoke,0.07692307692307693
Total lipid (fat),G,Arugula,0.0
Total lipid (fat),G,Asian Pear,0.0
Total lipid (fat),G,Asparagus,0.0
Total lipid (fat),G,Avocado,0.5512820512820513
Total lipid (fat),G,Bacon,0.6410256410256411
Total lipid (fat),G,Banana,0.07692307692307693
Total lipid (fat),G,Barley,0.02564102564102564
Total lipid (fat),G,Basil,0.0
Total lipid (fat),G,Bass,0.16666666666666666
Total lipid (fat),G,Bean,0.038461538461538464
Total lipid (fat),G,Beef,0.0641025641025641
Total lipid (fat),G,Beef Rib,0.07692307692307693
Total lipid (fat),G,Beef Shank,0.038461538461538464
Total lipid (fat),G,Beef Tenderloin,0.08974358974358974
Total lipid (fat),G,Beer,0.0
Total lipid (fat),G,Beet,0.0
Total lipid (fat),G,Bell Pepper,0.0
Total lipid (fat),G,Berry,0.0
Total lipid (fat),G,Bitters,0.02564102564102564
Total lipid (fat),G,Blackberry,0.0
Total lipid (fat),G,Blue Cheese,0.358974358974359
Total lipid (fat),G,Blueberry,0.0
Total lipid (fat),G,Bok Choy,0.0
Total lipid (fat),G,Bourbon,0.0
Total lipid (fat),G,Bran,0.07692307692307693
Total lipid (fat),G,Brandy,0.0
Total lipid (fat),G,Bread,0.08974358974358974
Total lipid (fat),G,Breadcrumbs,0.0
Total lipid (fat),G,Brie,0.41025641025641024
Total lipid (fat),G,Brine,0.38461538461538464
Total lipid (fat),G,Brisket,0.15384615384615385
Total lipid (fat),G,Broccoli,0.0
Total lipid (fat),G,Broccoli Rabe,0.0
Total lipid (fat),G,Brown Rice,0.02564102564102564
Total lipid (fat),G,Brussel Sprout,0.0
Total lipid (fat),G,Buffalo,0.6794871794871795
Total lipid (fat),G,Bulgur,0.02564102564102564
Total lipid (fat),G,Butter,1.0
Total lipid (fat),G,Buttermilk,0.0
Total lipid (fat),G,Butternut Squash,0.0
Total lipid (fat),G,Cabbage,0.0
Total lipid (fat),G,Cake,0.2948717948717949
Total lipid (fat),G,Calvados,0.41025641025641024
Total lipid (fat),G,Candy,0.0
Total lipid (fat),G,Candy Thermometer,0.2692307692307692
Total lipid (fat),G,Cantaloupe,0.0
Total lipid (fat),G,Caraway,0.3717948717948718
Total lipid (fat),G,Cardamom,0.0
Total lipid (fat),G,Carrot,0.0
Total lipid (fat),G,Cashew,0.2564102564102564
Total lipid (fat),G,Cauliflower,0.0
Total lipid (fat),G,Celery,0.0
Total lipid (fat),G,Chambord,0.0
Total lipid (fat),G,Champagne,0.0
Total lipid (fat),G,Chard,0.02564102564102564
Total lipid (fat),G,Chartreuse,0.0
Total lipid (fat),G,Cheddar,0.2564102564102564
Total lipid (fat),G,Cheese,0.4230769230769231
Total lipid (fat),G,Cherry,0.2564102564102564
Total lipid (fat),G,Chestnut,0.01282051282051282
Total lipid (fat),G,Chicken,0.11538461538461539
Total lipid (fat),G,Chickpea,0.07692307692307693
Total lipid (fat),G,Chile,0.21794871794871795
Total lipid (fat),G,Chile Pepper,0.0641025641025641
Total lipid (fat),G,Chili,0.1282051282051282
Total lipid (fat),G,Chill,0.0
Total lipid (fat),G,Chive,0.0
Total lipid (fat),G,Chocolate,0.47435897435897434
Total lipid (fat),G,Cilantro,0.0
Total lipid (fat),G,Cinnamon,0.0
Total lipid (fat),G,Citrus,0.0
Total lipid (fat),G,Clam,0.08974358974358974
Total lipid (fat),G,Clove,0.16666666666666666
Total lipid (fat),G,Coconut,0.44871794871794873
Total lipid (fat),G,Cod,0.0
Total lipid (fat),G,Coffee,0.0
Total lipid (fat),G,Collard Greens,0.0
Total lipid (fat),G,Cookies,0.38461538461538464
Total lipid (fat),G,Coriander,0.21794871794871795
Total lipid (fat),G,Corn,0.3076923076923077
Total lipid (fat),G,Cornmeal,0.0
Total lipid (fat),G,Cottage Cheese,0.02564102564102564
Total lipid (fat),G,Couscous,0.0
Total lipid (fat),G,Crab,0.0
Total lipid (fat),G,Cranberry,0.0
Total lipid (fat),G,Cranberry Sauce,0.0
Total lipid (fat),G,Cream Cheese,0.41025641025641024
Total lipid (fat),G,Cucumber,0.0
Total lipid (fat),G,Cumin,0.28205128205128205
Total lipid (fat),G,Currant,0.0
Total lipid (fat),G,Curry,0.0
Total lipid (fat),G,Date,0.0
Total lipid (fat),G,Dill,0.0
Total lipid (fat),G,Dried Fruit,0.0
Total lipid (fat),G,Duck,0.0
Total lipid (fat),G,Eau De Vie,0.08974358974358974
Total lipid (fat),G,Egg,0.0
Total lipid (fat),G,Eggplant,0.16666666666666666
Total lipid (fat),G,Endive,0.0
Total lipid (fat),G,Escarole,0.0
Total lipid (fat),G,Fennel,0.038461538461538464
Total lipid (fat),G,Feta,0.358974358974359
Total lipid (fat),G,Fig,0.0
Total lipid (fat),G,Fish,0.20512820512820512
Total lipid (fat),G,Fontina,0.3974358974358974
Total lipid (fat),G,Frangelico,0.2564102564102564
Total lipid (fat),G,Fruit Juice,0.0
Total lipid (fat),G,Garlic,0.0
Total lipid (fat),G,Gin,0.0
Total lipid (fat),G,Ginger,0.15384615384615385
Total lipid (fat),G,Goat Cheese,0.41025641025641024
Total lipid (fat),G,Goose,1.2692307692307692
Total lipid (fat),G,Gouda,0.41025641025641024
Total lipid (fat),G,Grains,0.01282051282051282
Total lipid (fat),G,Grand Marnier,0.0
Total lipid (fat),G,Grape,0.0
Total lipid (fat),G,Grapefruit,0.0
Total lipid (fat),G,Green Bean,0.0
Total lipid (fat),G,Ground Beef,0.11538461538461539
Total lipid (fat),G,Ground Lamb,0.2564102564102564
Total lipid (fat),G,Guava,0.0
Total lipid (fat),G,Halibut,0.01282051282051282
Total lipid (fat),G,Ham,0.038461538461538464
Total lipid (fat),G,Hamburger,0.05128205128205128
Total lipid (fat),G,Hazelnut,0.3974358974358974
Total lipid (fat),G,Herb,0.0
Total lipid (fat),G,Honey,0.0
Total lipid (fat),G,Honeydew,0.0
Total lipid (fat),G,Horseradish,0.0
Total lipid (fat),G,Hot Pepper,0.32051282051282054
Total lipid (fat),G,Ice Cream,0.15384615384615385
Total lipid (fat),G,Jerusalem Artichoke,0.0
Total lipid (fat),G,Kale,0.0
Total lipid (fat),G,Kirsch,0.0
Total lipid (fat),G,Kiwi,0.0
Total lipid (fat),G,Kumquat,0.0
Total lipid (fat),G,Lamb,0.20512820512820512
Total lipid (fat),G,Lamb Chop,0.20512820512820512
Total lipid (fat),G,Lamb Shank,0.14102564102564102
Total lipid (fat),G,Lasagna,0.08974358974358974
Total lipid (fat),G,Leafy Green,0.01282051282051282
Total lipid (fat),G,Leek,0.038461538461538464
Total lipid (fat),G,Legume,0.0
Total lipid (fat),G,Lemon,0.38461538461538464
Total lipid (fat),G,Lemon Juice,0.0
Total lipid (fat),G,Lemongrass,0.01282051282051282
Total lipid (fat),G,Lentil,0.0641025641025641
Total lipid (fat),G,Lettuce,0.0
Total lipid (fat),G,Lima Bean,0.07692307692307693
Total lipid (fat),G,Lime,0.1794871794871795
Total lipid (fat),G,Lime Juice,0.0
Total lipid (fat),G,Lingonberry,0.0
Total lipid (fat),G,Liqueur,0.0
Total lipid (fat),G,Lobster,0.0
Total lipid (fat),G,Lychee,0.0
Total lipid (fat),G,Macadamia Nut,0.9615384615384616
Total lipid (fat),G,Mango,0.0
Total lipid (fat),G,Maple Syrup,0.0
Total lipid (fat),G,Margarita,0.0
Total lipid (fat),G,Marsala,0.7307692307692307
Total lipid (fat),G,Mayonnaise,0.9615384615384616
Total lipid (fat),G,Meat,0.14102564102564102
Total lipid (fat),G,Meatball,0.11538461538461539
Total lipid (fat),G,Melon,0.01282051282051282
Total lipid (fat),G,Mezcal,0.0
Total lipid (fat),G,Midori,0.0
Total lipid (fat),G,Mint,0.0
Total lipid (fat),G,Molasses,0.0
Total lipid (fat),G,Monterey Jack,0.38461538461538464
Total lipid (fat),G,Mozzarella,0.32051282051282054
Total lipid (fat),G,Muffin,0.10256410256410256
Total lipid (fat),G,Mussel,0.02564102564102564
Total lipid (fat),G,Mustard,0.038461538461538464
Total lipid (fat),G,Mustard Greens,0.0
Total lipid (fat),G,Nectarine,0.0
Total lipid (fat),G,Noodle,0.0641025641025641
Total lipid (fat),G,Nut,0.5512820512820513
Total lipid (fat),G,Nutmeg,1.2820512820512822
Total lipid (fat),G,Oat,0.07692307692307693
Total lipid (fat),G,Oatmeal,0.07692307692307693
Total lipid (fat),G,Octopus,0.16666666666666666
Total lipid (fat),G,Okra,0.0
Total lipid (fat),G,Olive,0.38461538461538464
Total lipid (fat),G,Onion,0.0
Total lipid (fat),G,Orange,0.0
Total lipid (fat),G,Orange Juice,0.0
Total lipid (fat),G,Oregano,0.0
Total lipid (fat),G,Organic,0.038461538461538464
Total lipid (fat),G,Orzo,0.01282051282051282
Total lipid (fat),G,Oyster,0.1282051282051282
Total lipid (fat),G,Papaya,0.0
Total lipid (fat),G,Paprika,0.15384615384615385
Total lipid (fat),G,Parmesan,0.34615384615384615
Total lipid (fat),G,Parsley,0.0
Total lipid (fat),G,Parsnip,0.02564102564102564
Total lipid (fat),G,Party,0.6794871794871795
Total lipid (fat),G,Passion Fruit,0.0
Total lipid (fat),G,Pasta,0.02564102564102564
Total lipid (fat),G,Pea,0.1794871794871795
Total lipid (fat),G,Peach,0.28205128205128205
Total lipid (fat),G,Peanut,0.2692307692307692
Total lipid (fat),G,Peanut Butter,0.6538461538461539
Total lipid (fat),G,Pear,0.0
Total lipid (fat),G,Pecan,0.9230769230769231
Total lipid (fat),G,Pepper,0.0
Total lipid (fat),G,Pernod,0.2564102564102564
Total lipid (fat),G,Persimmon,0.0
Total lipid (fat),G,Pickles,0.0
Total lipid (fat),G,Pine Nut,0.8717948717948718
Total lipid (fat),G,Pineapple,0.0
Total lipid (fat),G,Pistachio,0.5897435897435898
Total lipid (fat),G,Plantain,0.3717948717948718
Total lipid (fat),G,Plum,0.0
Total lipid (fat),G,Pomegranate,0.0
Total lipid (fat),G,Pomegranate Juice,0.0
Total lipid (fat),G,Poppy,0.4230769230769231
Total lipid (fat),G,Pork,0.05128205128205128
Total lipid (fat),G,Pork Chop,0.11538461538461539
Total lipid (fat),G,Pork Rib,0.19230769230769232
Total lipid (fat),G,Pork Tenderloin,0.02564102564102564
Total lipid (fat),G,Port,0.358974358974359
Total lipid (fat),G,Potato,0.14102564102564102
Total lipid (fat),G,Poultry,0.02564102564102564
Total lipid (fat),G,Poultry Sausage,0.02564102564102564
Total lipid (fat),G,Prosciutto,0.1282051282051282
Total lipid (fat),G,Prune,0.0
Total lipid (fat),G,Pumpkin,0.0
Total lipid (fat),G,Quail,0.1794871794871795
Total lipid (fat),G,Quince,0.0
Total lipid (fat),G,Quinoa,0.01282051282051282
Total lipid (fat),G,Rabbit,0.10256410256410256
Total lipid (fat),G,Rack Of Lamb,0.11538461538461539
Total lipid (fat),G,Radicchio,0.0
Total lipid (fat),G,Radish,0.0
Total lipid (fat),G,Raisin,0.05128205128205128
Total lipid (fat),G,Raspberry,0.0
Total lipid (fat),G,Red Wine,0.0
Total lipid (fat),G,Rhubarb,0.0
Total lipid (fat),G,Rice,0.0
Total lipid (fat),G,Ricotta,0.11538461538461539
Total lipid (fat),G,Roast,0.11538461538461539
Total lipid (fat),G,Root Vegetable,0.0
Total lipid (fat),G,Rosemary,0.0
Total lipid (fat),G,Rum,0.0
Total lipid (fat),G,Rutabaga,0.0
Total lipid (fat),G,Rye,0.02564102564102564
Total lipid (fat),G,Saffron,0.0641025641025641
Total lipid (fat),G,Sage,0.0
Total lipid (fat),G,Sake,0.0
Total lipid (fat),G,Salmon,0.19230769230769232
Total lipid (fat),G,Sardine,0.08974358974358974
Total lipid (fat),G,Sauce,0.0
Total lipid (fat),G,Sausage,0.21794871794871795
Total lipid (fat),G,Scallop,0.15384615384615385
Total lipid (fat),G,Scotch,0.0
Total lipid (fat),G,Seed,0.02564102564102564
Total lipid (fat),G,Semolina,0.02564102564102564
Total lipid (fat),G,Sesame,0.5769230769230769
Total lipid (fat),G,Sesame Oil,1.2820512820512822
Total lipid (fat),G,Shallot,0.0
Total lipid (fat),G,Shellfish,0.07692307692307693
Total lipid (fat),G,Sherry,0.0
Total lipid (fat),G,Shrimp,0.0
Total lipid (fat),G,Snapper,0.01282051282051282
Total lipid (fat),G,Sorbet,0.0
Total lipid (fat),G,Sour Cream,0.2564102564102564
Total lipid (fat),G,Sourdough,0.0
Total lipid (fat),G,Soy,0.08974358974358974
Total lipid (fat),G,Soy Sauce,0.0
Total lipid (fat),G,Sparkling Wine,0.0
Total lipid (fat),G,Spice,0.15384615384615385
Total lipid (fat),G,Spinach,0.0
Total lipid (fat),G,Squash,0.02564102564102564
Total lipid (fat),G,Squid,0.20512820512820512
Total lipid (fat),G,Steak,0.0
Total lipid (fat),G,Strawberry,0.0
Total lipid (fat),G,Sugar Snap Pea,0.0
Total lipid (fat),G,Swiss Cheese,0.3333333333333333
Total lipid (fat),G,Swordfish,0.14102564102564102
Total lipid (fat),G,Tamarind,0.0
Total lipid (fat),G,Tangerine,0.0
Total lipid (fat),G,Tapioca,0.0
Total lipid (fat),G,Tarragon,0.0
Total lipid (fat),G,Tea,0.0
Total lipid (fat),G,Tequila,0.0
Total lipid (fat),G,Thyme,0.0
Total lipid (fat),G,Tilapia,0.038461538461538464
Total lipid (fat),G,Tomatillo,0.01282051282051282
Total lipid (fat),G,Tortillas,0.1794871794871795
Total lipid (fat),G,Triple Sec,0.0
Total lipid (fat),G,Tropical Fruit,0.0
Total lipid (fat),G,Trout,0.20512820512820512
Total lipid (fat),G,Tuna,0.038461538461538464
Total lipid (fat),G,Turnip,0.0
Total lipid (fat),G,Vanilla,0.20512820512820512
Total lipid (fat),G,Veal,0.10256410256410256
Total lipid (fat),G,Vegetable,0.0
Total lipid (fat),G,Venison,0.3333333333333333
Total lipid (fat),G,Vermouth,0.14102564102564102
Total lipid (fat),G,Vinegar,0.0
Total lipid (fat),G,Vodka,0.0
Total lipid (fat),G,Walnut,0.47435897435897434
Total lipid (fat),G,Wasabi,0.1282051282051282
Total lipid (fat),G,Watercress,0.02564102564102564
Total lipid (fat),G,Watermelon,0.0
Total lipid (fat),G,Wedding,0.02564102564102564
Total lipid (fat),G,Whiskey,0.0
Total lipid (fat),G,White Wine,0.0
Total lipid (fat),G,Whole Wheat,0.20512820512820512
Total lipid (fat),G,Wild Rice,0.01282051282051282
Total lipid (fat),G,Wine,0.0
Total lipid (fat),G,Wok,1.2820512820512822
Total lipid (fat),G,Yellow Squash,0.0
Total lipid (fat),G,Yogurt,0.02564102564102564
Total lipid (fat),G,Yuca,0.0
Total lipid (fat),G,Zucchini,0.0
"Carbohydrate, by difference",G,Almond,0.06545454545454546
"Carbohydrate, by difference",G,Amaretto,0.12
"Carbohydrate, by difference",G,Anchovy,0.0
"Carbohydrate, by difference",G,Anise,0.18181818181818182
"Carbohydrate, by difference",G,Apple,0.05090909090909091
"Carbohydrate, by difference",G,Apple Juice,0.05090909090909091
"Carbohydrate, by difference",G,Apricot,0.04727272727272727
"Carbohydrate, by difference",G,Artichoke,0.01090909090909091
"Carbohydrate, by difference",G,Arugula,0.01090909090909091
"Carbohydrate, by difference",G,Asian Pear,0.03636363636363636
"Carbohydrate, by difference",G,Asparagus,0.01090909090909091
"Carbohydrate, by difference",G,Avocado,0.025454545454545455
"Carbohydrate, by difference",G,Bacon,0.0
"Carbohydrate, by difference",G,Banana,0.14545454545454545
"Carbohydrate, by difference",G,Barley,0.09818181818181818
"Carbohydrate, by difference",G,Basil,0.0
"Carbohydrate, by difference",G,Bass,0.04
"Carbohydrate, by difference",G,Bean,0.05454545454545454
"Carbohydrate, by difference",G,Beef,0.0
"Carbohydrate, by difference",G,Beef Rib,0.0
"Carbohydrate, by difference",G,Beef Shank,0.0
"Carbohydrate, by difference",G,Beef Tenderloin,0.0
"Carbohydrate, by difference",G,Beer,0.01090909090909091
"Carbohydrate, by difference",G,Beet,0.05818181818181818
"Carbohydrate, by difference",G,Bell Pepper,0.014545454545454545
"Carbohydrate, by difference",G,Berry,0.03272727272727273
"Carbohydrate, by difference",G,Bitters,0.014545454545454545
"Carbohydrate, by difference",G,Blackberry,0.014545454545454545
"Carbohydrate, by difference",G,Blue Cheese,0.0
"Carbohydrate, by difference",G,Blueberry,0.23636363636363636
"Carbohydrate, by difference",G,Bok Choy,0.0036363636363636364
"Carbohydrate, by difference",G,Bourbon,0.2909090909090909
"Carbohydrate, by difference",G,Bran,0.16
"Carbohydrate, by difference",G,Brandy,0.0
"Carbohydrate, by difference",G,Bread,0.18545454545454546
"Carbohydrate, by difference",G,Brie,0.0
"Carbohydrate, by difference",G,Brine,0.0
"Carbohydrate, by difference",G,Brisket,0.0
"Carbohydrate, by difference",G,Broccoli,0.01818181818181818
"Carbohydrate, by difference",G,Broccoli Rabe,0.014545454545454545
"Carbohydrate, by difference",G,Brown Rice,0.27636363636363637
"Carbohydrate, by difference",G,Brussel Sprout,0.02909090909090909
"Carbohydrate, by difference",G,Buffalo,0.01090909090909091
"Carbohydrate, by difference",G,Bulgur,0.24363636363636362
"Carbohydrate, by difference",G,Butter,0.0
"Carbohydrate, by difference",G,Buttermilk,0.01818181818181818
"Carbohydrate, by difference",G,Butternut Squash,0.04
"Carbohydrate, by difference",G,Cabbage,0.007272727272727273
"Carbohydrate, by difference",G,Cake,0.20363636363636364
"Carbohydrate, by difference",G,Calvados,0.0
"Carbohydrate, by difference",G,Candy,0.36363636363636365
